filename,snr_pr,snr_noisy,lsd_pr,lsd_noisy,P808_MOS pr,SIG_raw pr,BAK_raw pr,OVRL pr,SIG pr,BAK pr,P808_MOS hr,SIG_raw hr,BAK_raw hr,OVRL hr,SIG hr,BAK hr,P808_MOS noisy,SIG_raw noisy,BAK_raw noisy,OVRL noisy,SIG noisy,BAK noisy
/VCTK-Corpus/wav48/p347/p347_035.wav,16.156694889068604,10.151341259184928,3.8718567,5.7452914273755935,3.3538914,4.076103,4.083578,3.2492319518344743,3.5863321934890866,3.9793384168396195,4.0098166,4.1587243,4.1928916,3.3151381743044976,3.6300600175289244,4.035476401351048,2.8226871,4.0642247,2.7545395,2.7433658356947483,3.579702291080284,3.0367763771931826
/VCTK-Corpus/wav48/p347/p347_098.wav,-6.549197435379028,-6.627667684465088,3.4446855,4.476570516886518,3.375239,3.9648573,4.080647,3.217293904110472,3.5256384993252845,3.9778405825194563,3.5487704,3.962326,4.076027,3.192406575453597,3.5242331982082757,3.9753680336589348,3.196283,4.112591,3.1937954,2.992066320661303,3.605791837363632,3.4002009541506086
/VCTK-Corpus/wav48/p347/p347_049.wav,-13.875706195831299,-13.931383120439165,3.763773,3.953199542044701,3.490857,4.0676646,3.392319,3.0493488956552457,3.581736452573098,3.542469939368941,3.4639506,3.8738608,3.9527707,3.0962372520389354,3.474344385509291,3.905221540232244,3.458098,4.1442204,3.153136,3.009183756833021,3.6222788190621515,3.3612030265066797
/VCTK-Corpus/wav48/p347/p347_111.wav,-7.390497326850891,-9.09456531929692,4.30778,5.111339040730259,3.9058971,4.1095285,4.07035,3.301423517400462,3.6041509484114864,3.9722428626784603,4.0968056,4.1615567,4.218878,3.346676567796726,3.631542913683219,4.0491319680347395,3.6765718,4.365937,3.3134477,3.1575168430522016,3.734438815423189,3.490172141229412
/VCTK-Corpus/wav48/p347/p347_206.wav,10.283288955688477,9.376841063284928,3.3021958,4.455732802841375,3.2642994,4.147402,4.0753846,3.286673435000522,3.624114639789576,3.974398806923349,3.835985,4.1517544,4.109923,3.3006540726417435,3.6264125783620487,3.993250139365044,2.953729,4.1045113,2.841994,2.827172873721574,3.601406049638644,3.1134941572360475
/VCTK-Corpus/wav48/p347/p347_163.wav,-6.007542610168457,-6.1315704847281935,4.099684,4.903800110749713,3.3669813,4.111601,4.1399446,3.306589399298239,3.6052649808111656,4.009012352787513,3.4231098,3.987238,4.005064,3.202734785798192,3.538002956353911,3.936479221709208,3.4001276,4.0474334,3.799238,3.1889209226217017,3.57086496495538,3.8158088535931065
/VCTK-Corpus/wav48/p347/p347_274.wav,-12.357743978500366,-12.989253861740073,7.8019323,9.19847428060572,2.707064,3.8546195,2.4366345,2.5466126617081954,3.463317999495343,2.742342820144217,3.477002,4.051926,3.9639776,3.207300298236806,3.5733015151994034,3.913626888275524,2.463894,2.3597128,1.2340633,1.5365775510165445,2.4137524104245083,1.388964245663361
/VCTK-Corpus/wav48/p347/p347_096.wav,5.095113515853882,4.031734248077717,2.8528023,3.471487678306843,3.4791923,4.0081034,4.010551,3.19358767883575,3.549481240697649,3.9397226378217756,3.5194457,4.081024,4.1095695,3.2376134280695252,3.588973176905452,3.993191475960294,3.4103262,4.149868,3.7386384,3.190732759093905,3.6254376002580715,3.779612885605178
/VCTK-Corpus/wav48/p347/p347_350.wav,6.601426601409912,5.596685291644597,2.0777786,1.5786072362341945,3.8314703,4.209828,4.4782233,3.4535106315817132,3.6565179338576637,4.169526465553598,3.7552187,4.2139783,4.448942,3.4346125711733735,3.6586777753448807,4.156840528522641,3.7823496,4.1887155,4.241802,3.381070216839458,3.6456154272277295,4.06049382837531
/VCTK-Corpus/wav48/p347/p347_381.wav,-14.932525157928467,-15.018858127280941,4.6979017,5.385131455427708,3.7722528,4.1014767,4.0875583,3.3037379718837223,3.59984537652547,3.98148818785876,3.8462372,4.1699996,4.3784804,3.3869014304573315,3.6358802415559452,4.125362044695087,3.7146492,4.2387443,3.862553,3.295700541104111,3.671262488766878,3.854716091896368
